Winrate,Packs-OLD,Packs-NEW,Gems-OLD,Gems-NEW,Rounds-OLD,NetGemsOld,NetGemsNew,Difference
0.0,1.0,1.0,-1500.0,-1500.0,2.0,-700.0,-700.0,0.0
0.01,1.02024,1.000924,-1499.8124,-1499.692,2.02024,-695.7644,-699.5072,-3.7427999999999884
0.02,1.041294,1.003368,-1499.129,-1498.872,2.041294,-690.8702,-698.1984,-7.328200000000038
0.03,1.061992,1.007988,-1498.0774,-1497.292,2.061992,-685.6789999999999,-695.6943999999999,-10.0154
0.04,1.083238,1.014394,-1496.576,-1495.13,2.083238,-679.9284,-692.2512000000002,-12.322800000000143
0.05,1.104342,1.02184,-1494.5866,-1492.568,2.104342,-673.7182000000001,-688.1999999999999,-14.481799999999794
0.060000000000000005,1.127804,1.03095,-1492.1634,-1489.414,2.1278,-666.6025999999999,-683.2239999999999,-16.621399999999994
0.07,1.150276,1.043438,-1489.2574,-1485.078,2.150268,-659.2022,-676.3904,-17.18820000000005
0.08,1.174738,1.055372,-1485.3936,-1480.884,2.17472,-650.4460000000001,-669.8096,-19.363599999999906
0.09,1.1977,1.070038,-1481.4564,-1475.646,2.197654,-641.9164000000001,-661.6383999999999,-19.721999999999866
0.09999999999999999,1.223072,1.086182,-1476.9302,-1469.918,2.223012,-632.3158000000001,-652.6815999999999,-20.36579999999981
0.10999999999999999,1.246992,1.102964,-1472.3866,-1463.948,2.246886,-622.9882,-643.3552000000001,-20.367000000000075
0.11999999999999998,1.272974,1.123812,-1467.048,-1456.588,2.272822,-612.4531999999999,-631.8255999999999,-19.37239999999997
0.12999999999999998,1.298106,1.144462,-1461.2436,-1448.854,2.297868,-601.6224,-619.9616000000001,-18.33920000000012
0.13999999999999999,1.325766,1.165314,-1454.177,-1441.322,2.325408,-589.0237999999999,-608.2592,-19.235400000000027
0.15,1.353558,1.191378,-1446.9686,-1431.586,2.353044,-576.2569999999998,-593.3104000000001,-17.053400000000238
0.16,1.381232,1.213042,-1439.2284,-1423.65,2.38063,-562.982,-581.0416000000001,-18.05960000000016
0.17,1.409108,1.239232,-1431.4466,-1413.824,2.408192,-549.625,-565.9776,-16.352600000000052
0.18000000000000002,1.440152,1.268932,-1422.084,-1402.444,2.438972,-534.0536,-548.6576,-14.604000000000042
0.19000000000000003,1.469072,1.297762,-1412.851,-1391.65,2.467526,-519.0366000000001,-532.0976,-13.060999999999922
0.20000000000000004,1.49942,1.327668,-1403.0894,-1380.092,2.49749,-503.20540000000005,-514.5584000000001,-11.353000000000065
0.21000000000000005,1.531154,1.358598,-1392.3404,-1368.198,2.528836,-486.1096,-496.4784000000001,-10.368800000000078
0.22000000000000006,1.563528,1.392642,-1381.074,-1354.962,2.560482,-468.36840000000007,-476.43360000000007,-8.065200000000004
0.23000000000000007,1.595434,1.426622,-1370.0064,-1341.75,2.591638,-450.91959999999995,-456.42560000000003,-5.5060000000000855
0.24000000000000007,1.629074,1.46358,-1357.044,-1326.82,2.624368,-431.2292000000001,-434.1039999999999,-2.874799999999823
0.25000000000000006,1.663922,1.500636,-1344.0496,-1312.204,2.658312,-411.26520000000005,-412.07679999999993,-0.8115999999998849
0.26000000000000006,1.701318,1.536446,-1329.8616,-1297.838,2.694542,-389.59799999999996,-390.5488,-0.950800000000072
0.2700000000000001,1.73771,1.574398,-1315.7054,-1282.318,2.729678,-368.1634,-367.4384,0.7250000000000227
0.2800000000000001,1.776278,1.619154,-1299.8604,-1263.93,2.766218,-344.60480000000007,-340.0992000000001,4.5055999999999585
0.2900000000000001,1.813818,1.65948,-1284.9456,-1247.736,2.802436,-322.182,-315.84000000000015,6.341999999999871
0.3000000000000001,1.853,1.70358,-1268.8656,-1229.188,2.839874,-298.26560000000006,-288.4720000000001,9.79359999999997
0.3100000000000001,1.891532,1.746352,-1252.102,-1211.792,2.875894,-273.79560000000015,-262.5215999999999,11.274000000000228
0.3200000000000001,1.930012,1.79036,-1235.7222,-1193.536,2.912154,-249.71979999999985,-235.46400000000006,14.255799999999795
0.3300000000000001,1.973584,1.836452,-1217.1434,-1173.172,2.952624,-222.4266,-205.88160000000005,16.54499999999996
0.34000000000000014,2.01554,1.885012,-1199.0226,-1152.388,2.991624,-195.91460000000006,-175.38559999999995,20.52900000000011
0.35000000000000014,2.060092,1.930638,-1179.7054,-1132.694,3.032348,-167.68700000000013,-146.56639999999993,21.120600000000195
0.36000000000000015,2.107894,1.982682,-1158.4544,-1109.682,3.076306,-136.87560000000008,-113.14560000000006,23.730000000000018
0.37000000000000016,2.152542,2.025724,-1138.5534,-1090.932,3.117134,-108.04500000000007,-85.78719999999998,22.25780000000009
0.38000000000000017,2.199832,2.0793,-1116.9976,-1066.732,3.15976,-77.0311999999999,-50.87199999999996,26.15919999999994
0.3900000000000002,2.250944,2.131228,-1094.1436,-1043.964,3.20561,-43.954800000000205,-17.718399999999974,26.23640000000023
0.4000000000000002,2.299812,2.18184,-1071.5138,-1021.288,3.248636,-11.55139999999983,15.079999999999927,26.631399999999758
0.4100000000000002,2.351332,2.235204,-1047.6294,-996.86,3.294038,22.636999999999944,50.18079999999998,27.543800000000033
0.4200000000000002,2.398624,2.295476,-1026.2872,-968.164,3.335106,53.437599999999975,90.93119999999999,37.493600000000015
0.4300000000000002,2.455928,2.34352,-999.0972,-945.728,3.384386,92.08839999999998,122.976,30.88760000000002
0.4400000000000002,2.510586,2.395934,-974.3654,-922.198,3.430728,127.75180000000012,156.98879999999997,29.236999999999853
